Z-Disp (V),Z-Load (V),Time (s),Z-Amp (V),Z-Pha (Dg),Z-Excite,X-Disp (V),X-Load (V),Y-Disp (V),Y-Load (V),X-Amp (V),X-Pha (Dg),X-Exc (V),Y-Amp (V),Y-Pha (Dg),Y-Exc (V)
41314.8964888,44.8055477142,0,.0002405,-179.7,0,41285.6507458,44.9447870255,41286.0676276,44.8467514515,.0004626,-20.8,1109,.00029455,131.91,0
41314.9248833,44.8053588867,6732.385,.00010775,170.64,0,41285.647908,44.9447870255,41286.0642747,44.8467514515,.0005525,-13.79,1055,.00032295,151.27,0
41314.9280142,44.8053395748,6732.8,.0001712,157.66,0,41285.647607,44.9447870255,41286.0637822,44.8467514515,.0005667,-27.5,1083,.00033135,148.96,0
41314.9310112,44.8053202629,6733.205,.0001976,166.61,0,41285.6473317,44.9447870255,41286.0635411,44.8467514515,.0007027,-18.08,1044,.0003755,152.79,0
41314.9339796,44.8053010702,6733.62,.000144,146.52,0,41285.6470493,44.9447870255,41286.0631863,44.8467514515,.0005401,-12.55,1063,.0003056,159.06,0
41314.9371413,44.8052814007,6734.035,.00021485,139.29,0,41285.6467006,44.9447870255,41286.0629742,44.8467514515,.0005952,-31.22,1086,.0003569,150.69,0
41314.9401881,44.8052618504,6734.455,.000204,169.08,0,41285.6463806,44.9447870255,41286.0627245,44.8467514515,.0006859,-16.34,1048,.00034805,160.96,0
41314.9431236,44.8052425385,6734.865,.0001623,166.61,0,41285.6460808,44.9447870255,41286.0624361,44.8467514515,.0005066,-15.17,1078,.00023545,160.1,0
41314.9462436,44.8052232265,6735.275,.00020535,143.62,0,41285.6457895,44.9447870255,41286.0619873,44.8467514515,.0006719,-29.2,1067,.00044165,151.63,0
41314.9494801,44.8052031994,6735.7,.000229,162.91,0,41285.6455116,44.9447870255,41286.0618092,44.8467514515,.0006424,-11.65,1039,.0002841,168.89,0
41314.9524246,44.8051843643,6736.105,.00016495,160.12,0,41285.6451631,44.9447870255,41286.0615974,44.8467514515,.0004616,-17.61,1082,.0002561,123.32,0
41314.9556241,44.8051644564,6736.525,.000201,145.05,0,41285.6448697,44.9447870255,41286.061028,44.8467514515,.0006785,-28.18,1061,.0003102,149.12,0
41314.9587245,44.805144906,6736.945,.0002213,168,0,41285.6446017,44.9447870255,41286.0607826,44.8467514515,.0006396,-10.63,1043,.0003165,154.85,0
41314.9616898,44.8051258326,6737.35,.00019595,155.61,0,41285.6443822,44.9447870255,41286.0604245,44.8467514515,.0004708,-22.76,1099,.0002689,146.17,0
41314.9647235,44.8051066399,6737.76,.00022,160.31,0,41285.6440778,44.9447870255,41286.0601498,44.8467514515,.0007145,-22.58,1063,.00033315,151.77,0
41314.9677901,44.805087328,6738.175,.0002019,169.38,0,41285.6437598,44.9447870255,41286.0598358,44.8467514515,.0005991,-6.87,1058,.0003337,171.73,0
41314.9709149,44.8050680161,6738.585,.0002159,153.38,0,41285.6435321,44.9447870255,41286.0594885,44.8467514515,.0005144,-22.84,1095,.0002949,142.4,0
41314.9739771,44.8050487041,6738.995,.00025675,153.08,0,41285.6432375,44.9447870255,41286.0590509,44.8467514515,.0007152,-23.16,1059,.00040275,149.28,0
41314.9771178,44.8050289154,6739.415,.000184,172.61,0,41285.6429303,44.9447870255,41286.0587424,44.8467514515,.0005527,-11.99,1068,.00019985,159.57,0
41314.9801176,44.8050096035,6739.83,.00017345,148.8,0,41285.6425691,44.9447870255,41286.0583646,44.8467514515,.0005798,-30.55,1092,.0003911,149.62,0
41314.9831062,44.8049902916,6740.24,.0002483,166.39,0,41285.6422923,44.9447870255,41286.0580658,44.8467514515,.0007274,-16.68,1045,.0003385,162.46,0
41314.986127,44.8049707413,6740.655,.0002279,155.4,0,41285.642041,44.9447870255,41286.057606,44.8467514515,.0005414,-10.06,1057,.00021905,142.14,0
41314.9891251,44.8049511909,6741.07,.0002431,152.89,0,41285.6416939,44.9447870255,41286.0575131,44.8467514515,.0005999,-27.73,1077,.0003845,155.01,0
41314.9921391,44.804931879,6741.485,.0002333,171.42,0,41285.641329,44.9447870255,41286.0572522,44.8467514515,.0006912,-16.23,1034,.0002871,150.93,0
41314.995202,44.8049125671,6741.895,.00018975,177.73,0,41285.641031,44.9447870255,41286.0569543,44.8467514515,.0004828,-11.52,1075,.00015295,143.03,0
